"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"52350","NMDC-Jun2024-FUT","NMDC JUN FUT","","5.0000","4500","FUTSTK","D","NSE","309.3000","253.0500","2024-06-27 14:00:00","","90001"
"55865","NTPC-Jun2024-FUT","NTPC JUN FUT","","5.0000","1500","FUTSTK","D","NSE","405.8500","332.1000","2024-06-27 14:00:00","","75001"
"55866","OBEROIRLTY-Jun2024-FUT","OBEROIRLTY JUN FUT","","5.0000","700","FUTSTK","D","NSE","1927.3000","1576.8500","2024-06-27 14:00:00","","21001"
"58853","OFSS-Jun2024-FUT","OFSS JUN FUT","","5.0000","100","FUTSTK","D","NSE","8657.3000","7083.2500","2024-06-27 14:00:00","","3001"
"58854","ONGC-Jun2024-FUT","ONGC JUN FUT","","5.0000","1925","FUTSTK","D","NSE","309.1000","252.9000","2024-06-27 14:00:00","","77001"
"58865","PAGEIND-Jun2024-FUT","PAGEIND JUN FUT","","5.0000","15","FUTSTK","D","NSE","38604.9500","31585.9000","2024-06-27 14:00:00","","751"
"58866","PEL-Jun2024-FUT","PEL JUN FUT","","5.0000","750","FUTSTK","D","NSE","918.9000","751.8500","2024-06-27 14:00:00","","30001"
"58874","PERSISTENT-Jun2024-FUT","PERSISTENT JUN FUT","","5.0000","200","FUTSTK","D","NSE","3899.6500","3190.6000","2024-06-27 14:00:00","","6001"
"58876","PETRONET-Jun2024-FUT","PETRONET JUN FUT","","5.0000","3000","FUTSTK","D","NSE","347.8000","284.5500","2024-06-27 14:00:00","","90001"
"58877","PFC-Jun2024-FUT","PFC JUN FUT","","5.0000","3875","FUTSTK","D","NSE","515.0500","421.4000","2024-06-27 14:00:00","","52001"
"58878","PIDILITIND-Jun2024-FUT","PIDILITIND JUN FUT","","5.0000","250","FUTSTK","D","NSE","3342.9000","2735.1000","2024-06-27 14:00:00","","7501"
"58887","PIIND-Jun2024-FUT","PIIND JUN FUT","","5.0000","250","FUTSTK","D","NSE","3964.5500","3243.7000","2024-06-27 14:00:00","","7501"
"58888","PNB-Jun2024-FUT","PNB JUN FUT","","5.0000","8000","FUTSTK","D","NSE","138.5500","113.4000","2024-06-27 14:00:00","","160001"
"58893","POLYCAB-Jun2024-FUT","POLYCAB JUN FUT","","5.0000","100","FUTSTK","D","NSE","7200.3500","5891.2000","2024-06-27 14:00:00","","5001"
